PSRJ,P0,P1
J0522-6847,0.674531909,1.77E-14
J0525+1115,0.354437595,7.36E-17
J0525-6607,8.047,6.50E-11
J0528+2200,3.74553925,4.01E-14
J0529-0715,0.689223601,5.75E-16
J0529-6652,0.975736827,1.55E-14
J0532-6639,0.642742751,5.35E-15
J0533+0402,0.963017825,1.60E-16
J0533+6759,0.00438816,1.26E-20
J0533-4524,0.157284525,2.80E-16
J0534+2200,0.033392412,4.21E-13
J0534-6703,1.817565031,4.25E-13
J0535-6935,0.20051133,1.15E-14
J0536-7543,1.245856133,5.78E-16
J0537-6910,0.016122222,5.18E-14
J0538+2817,0.143158259,3.67E-15
J0540+3207,0.524270863,4.48E-16
J0540-6919,0.050569703,4.79E-13
J0540-7125,1.286014595,8.20E-16
J0543+2329,0.245974769,1.54E-14
J0543-6851,0.708954186,3.94E-15
J0546+2441,2.843850385,7.65E-15
J0554+3107,0.464960966,1.43E-13
J0555-7056,0.827838086,5.96E-15
J0557+1550,0.002556367,7.35E-21
J0557-2948,0.043642639,7.30E-20
J0600-5756,2.261364513,2.78E-15
J0601-0527,0.39596917,1.30E-15
J0605+3757,0.002727954,4.80E-21
J0608+1635,0.945844752,1.35E-14
J0609+2130,0.055698014,2.35E-19
J0610-2100,0.003861325,1.23E-20
J0611+1436,0.270329463,4.00E-15
J0612+3721,0.297982327,5.95E-17
J0612+37216,0.443871368,1.50E-16
J0613+3731,0.619198181,3.24E-15
J0613-0200,0.003061844,9.59E-21
J0614+2229,0.334959966,5.94E-14
J0614-3329,0.00314867,1.75E-20
J0621+0336,0.269954068,7.24E-18
J0621+1002,0.028853861,4.73E-20
J0621+2514,0.002721788,2.48E-20
J0622+3749,0.333208232,2.54E-14
J0623+0340,0.6137596,8.84E-17
J0624-0424,1.039076476,8.30E-16
J0627+0649,0.346522567,1.70E-15
J0627+0706,0.475884938,2.98E-14
J0628+0909,1.241421391,5.48E-16
J0629+2415,0.476622836,2.00E-15
J0630-0046,0.680574832,3.75E-15
J0630-2834,1.244418596,7.12E-15
J0631+0646,0.110978943,3.62E-15
J0631+1036,0.287800022,1.05E-13
J0633+0632,0.297395191,7.96E-14
J0633+1746,0.237099442,1.10E-14
J0633-2015,3.253210838,3.82E-15
J0636+5128,0.002868953,3.45E-21
J0636-4549,1.984597367,3.17E-15
J0645+5158,0.008853497,4.92E-21
J0646+0905,0.903913357,7.36E-16
J0647+0913,1.234853628,6.42E-15
J0652-0142,0.924053918,1.53E-16
J0653+8051,1.214440512,3.80E-15
J0656-2228,1.224754415,2.67E-17
